"scenario","configuration","design","all_additive","pve","K","coding","true_share","estimated_share","bias","lower","upper","pip_mass","n_replicates","n_seed_blocks","zero_pip_replicates"
"Additive + Recessive","add2_rec1_dom0","add2_rec1_dom0",FALSE,0.1,3,"recessive",0.333333333333333,0.298515890923039,-0.0348174424102947,0.29265381229897,0.305027703226029,674.69854595168,400,400,1
"Additive + Recessive","add2_rec1_dom0","add2_rec1_dom0",FALSE,0.1,3,"dominant",0,0.309703845486766,0.309703845486766,0.302903730326636,0.315606022423677,699.985295856283,400,400,1
"Additive only","add3_rec0_dom0","add3_rec0_dom0",FALSE,0.1,3,"additive",1,0.439863976802893,-0.560136023197107,0.430364175615136,0.449393436555671,977.503868920323,400,400,1
"Additive only","add3_rec0_dom0","add3_rec0_dom0",FALSE,0.1,3,"recessive",0,0.217166596107021,0.217166596107021,0.209252531109867,0.224072009857431,482.606439922211,400,400,1
"Additive only","add3_rec0_dom0","add3_rec0_dom0",FALSE,0.1,3,"dominant",0,0.342969427090086,0.342969427090086,0.337655439114096,0.348887488453058,762.176399028412,400,400,1
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.2,3,"additive",0,0.271757598717508,0.271757598717508,0.259571533105818,0.281682902629322,478.932670898877,400,400,0
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.2,3,"recessive",0,0.120740161979317,0.120740161979317,0.107134264431901,0.133733908142004,212.786720718812,400,400,0
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.2,3,"dominant",1,0.607502239303175,-0.392497760696825,0.58863057867107,0.62957726305518,1070.63306203616,400,400,0
"Recessive + Dominant","add0_rec1_dom2","add0_rec1_dom2",FALSE,0.2,3,"additive",0,0.228175013184212,0.228175013184212,0.216068667179727,0.239712204275257,416.938148094299,400,400,0
"Recessive + Dominant","add0_rec1_dom2","add0_rec1_dom2",FALSE,0.2,3,"recessive",0.333333333333333,0.310370354614742,-0.0229629787185909,0.304163158230687,0.316478166006651,567.131514842815,400,400,0
